feature,importance
categorical__work_title_jp_機動戦士ガンダムF91,0.0015552436477599208
categorical__faction_family_ZAFT / PLANT,0.00155205752079219
categorical__work_title_jp_新機動戦記ガンダムW,0.0015291249213895226
categorical__work_title_jp_機動戦士ガンダム サンダーボルト,0.0015242896582168689
categorical__affiliation_context_jp_地球連合軍,0.001476123118306027
categorical__affiliation_context_jp_ベネリットグループ / MS開発評議会,0.0013577869065132793
categorical__affiliation_context_jp_ヴェイガン,0.0013508656509831534
categorical__affiliation_context_jp_アクシズ（穏健派、強硬派含む）,0.0013383281204156759
categorical__affiliation_context_jp_ジオン公国軍（マッドアングラー隊）,0.0013014369881417611
categorical__work_title_jp_ADVANCE OF Ζ ティターンズの旗のもとに,0.0012925223672962387
categorical__affiliation_context_jp_フォルドの夜明け,0.0012777168058898682
numeric__appearance_note_jp_is_known,0.0012569279880819768
categorical__work_title_jp_ガンダムビルドファイターズトライ,0.0012551420627824855
categorical__work_title_jp_機動戦士ガンダム MS IGLOO2,0.0012421126285407094
categorical__faction_family_Orb / Three Ships Alliance,0.0012254539109202093
categorical__work_title_jp_機動戦士ガンダム 水星の魔女,0.0012178338422034153
categorical__affiliation_context_jp_ザフト軍（クルーゼ隊）,0.0012038924743489339
categorical__affiliation_context_jp_クリュセ,0.001172297454057082
categorical__faction_family_Vagan,0.001151265763341653
categorical__affiliation_context_jp_ザフト軍（ミネルバクルー）,0.0011440082970691318
numeric__appearance_note_jp_char_len,0.0011248278148537935
categorical__faction_family_Benerit / Asticassia / Ad Stella,0.0011169543405205712
categorical__faction_family_Union / HRL / AEU,0.001114298466448005
categorical__work_title_jp_機動戦士ガンダム 閃光のハサウェイ,0.0011118181086385306
categorical__work_title_jp_ガイア・ギア,0.001102792813934342
categorical__work_title_jp_infrequent_sklearn,0.0010486012178464695
categorical__affiliation_context_jp_ブルワーズ,0.001042772452114403
categorical__affiliation_context_jp_ギャラルホルン,0.0010345121775579122
categorical__work_title_jp_機動戦士ガンダムSEED FREEDOM,0.0010182255123369808
categorical__affiliation_context_jp_アスノ家,0.0010145834148048995
categorical__work_title_jp_ガンダムビルドファイターズ,0.0009700322239310733
categorical__affiliation_context_jp_地球連邦平和維持軍,0.0009685567357364575
categorical__affiliation_context_jp_ザンスカール帝国（ベスパ、イエロージャケット）,0.00095610602643047
categorical__affiliation_context_jp_地球連邦軍（民間人、レジスタンス含む）,0.0009397746527639576
categorical__faction_family_Tekkadan / CGS,0.0009348578025175193
categorical__affiliation_context_jp_鉄華団 / CGS参番組,0.0008778598818323671
categorical__affiliation_context_jp_ネオ・ジオン残党軍,0.0008760897758904566
categorical__faction_family_Gjallarhorn,0.0008705470924026356
categorical__affiliation_context_jp_クロスボーン・バンガード（ロナ家、ブッホ・コンツェルン関係者含む）,0.0007694448899506595
categorical__affiliation_context_jp_ジオン公国軍（ランバ・ラル大尉旗下）,0.0007618583521759909
categorical__work_title_jp_機動戦士ガンダム 戦略戦術大図鑑,0.0007491824346383314
categorical__work_title_jp_機動戦士ガンダム Twilight AXIS,0.0007128112700337803
categorical__medium_hint_Manga + Game,0.0007095615514629253
categorical__affiliation_context_jp_アロウズ,0.0006970586658032557
categorical__work_title_jp_Developers 機動戦士ガンダム Before One Year War,0.0006851886019832796
categorical__work_title_jp_Unknown,0.0006806174091723543
categorical__affiliation_context_jp_地球連邦軍（マスティマ）,0.0006633558251862737
categorical__work_title_jp_機動戦士ガンダム エコール・デュ・シエル,0.0006588741913461739
categorical__work_title_jp_機動戦士ガンダム戦記,0.0006164162453513241
categorical__affiliation_context_jp_地球連邦軍（第13独立部隊）,0.0006083445995719478
categorical__affiliation_context_jp_ジオン公国軍（シャア・アズナブル大佐旗下）,0.0005855098344806227
categorical__affiliation_context_jp_アスティカシア高等専門学園,0.0005754257572206063
categorical__affiliation_context_jp_民間人・その他（アナハイム・エレクトロニクス含む）,0.0005750598377016027
categorical__work_title_jp_ダブルフェイク アンダー・ザ・ガンダム,0.0005695298328155207
categorical__affiliation_context_jp_ジオン公国軍（ガルマ・ザビ大佐旗下）,0.000568078319248842
categorical__medium_hint_Novel + Web anime,0.0005361473719957464
categorical__affiliation_context_jp_地球連邦軍（シェザール隊）,0.0005337263550756259
categorical__affiliation_context_jp_第7回ガンプラバトル選手権参加者,0.0005166051088899378
categorical__universe_code_RC,0.0004943193082667073
categorical__affiliation_context_jp_ロゴス,0.00047012630558842443
categorical__affiliation_context_jp_地球連邦軍/地球連邦政府,0.00043683368599005894
categorical__work_title_jp_ガンダム・センチネル,0.0004231641023560942
categorical__affiliation_context_jp_ネオ・ジオン残党軍（ガランシェール隊）,0.000397067347069285
categorical__affiliation_context_jp_地球連邦軍（α任務部隊）,0.0003859207353044032
categorical__affiliation_context_jp_アザディスタン王国,0.0003815097646090863
categorical__affiliation_context_jp_ジオン公国軍（宇宙世紀0079年から登場する人物）,0.00037444166084417223
categorical__affiliation_context_jp_忍/機動忍軍,0.0003707959914117687
categorical__affiliation_context_jp_ティターンズ・テスト・チーム,0.00036977008399276685
categorical__work_title_jp_機動戦士ガンダムSEED C.E.73 Δ ASTRAY,0.00036585331831961955
categorical__work_title_jp_機動戦士ガンダムSEED C.E.73 STARGAZER,0.00033887368683651025
categorical__work_title_jp_機動戦士ガンダム　宇宙のイシュタム,0.00033257502600542984
categorical__affiliation_context_jp_新シャッフル同盟,0.00030797275964489175
categorical__work_title_jp_機動戦士ガンダム外伝 コロニーの落ちた地で…,0.0002976493721459311
categorical__affiliation_context_jp_ジオン独立同盟,0.00028158433591697233
categorical__affiliation_context_jp_エゥーゴ/アナハイム・エレクトロニクス,0.0002709788477676741
categorical__work_title_jp_機動戦士ガンダムSEED MSV,0.00026517923475621836
categorical__affiliation_context_jp_カラバ,0.0002607585818026359
categorical__affiliation_context_jp_旧ジオン公国軍残党,0.0002578781795944603
categorical__affiliation_context_jp_民間人（アナハイム・エレクトロニクス含む）,0.0002512403158949285
categorical__affiliation_context_jp_バルチャー（フリーデン）,0.00024102924540051577
categorical__affiliation_context_jp_人類革新連盟,0.0002409810471845169
categorical__affiliation_context_jp_OZ（旧スペシャルズ）,0.0002300074840889206
categorical__work_title_jp_モビルスーツバリエーション（MSV）,0.00022466820758441472
categorical__affiliation_context_jp_民間人,0.000223440876664501
categorical__work_title_jp_機動戦士ガンダム 鉄血のオルフェンズ 月鋼,0.00021917477326709818
categorical__work_title_jp_機動戦士ガンダムSEED VS ASTRAY,0.0002175240749636454
categorical__affiliation_context_jp_ザフト軍（バルトフェルド隊）,0.00020480488256087085
categorical__affiliation_context_jp_ザフト軍,0.00020219774626212964
categorical__affiliation_context_jp_ザフト軍（その他）,0.00019944271743795123
categorical__work_title_jp_機動戦士ガンダム外伝 宇宙、閃光の果てに…,0.0001992101169969201
categorical__universe_code_SD,0.00019539297063255801
categorical__work_title_jp_機動戦士クロスボーン・ガンダムシリーズ,0.00019265979778284345
categorical__work_title_jp_機動戦士ガンダム戦記 Lost War Chronicles,0.00017621800955203938
